City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
78,Broken Hill,AU,71.1,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
80,Banjar,ID,78.4,light rain,-8.19,114.9675,The Hamsa Resort
83,Hithadhoo,MV,82.53,broken clouds,-0.6,73.0833,Scoop Guest House
90,Padang,ID,75.25,heavy intensity rain,-0.9492,100.3543,Mercure Padang
91,Victoria,HK,72.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
92,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
95,Mitzic,GA,70.14,light rain,0.7821,11.549,Motel Emys
96,Victor Harbor,AU,61.0,light rain,-35.5667,138.6167,McCracken Country Club
98,Biak,ID,77.7,broken clouds,-0.9131,122.8766,Penginapan Kim
103,Ceres,US,77.79,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
104,Phalaborwa,ZA,61.9,light rain,-23.943,31.1411,Bothabelo Bed and Breakfast
105,Peruibe,BR,67.35,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
106,Cidreira,BR,67.17,overcast clouds,-30.1811,-50.2056,Hotel Castelo
107,Mlonggo,ID,78.44,broken clouds,-6.5333,110.7,Asia Metal Art
108,Ahuimanu,US,80.31,light rain,21.4447,-157.8378,Paradise Bay Resort
111,Havelock,US,62.58,clear sky,34.8791,-76.9013,Sherwood Motel
112,Bilma,NE,81.5,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
114,Necochea,AR,61.23,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
116,Guangzhou,CN,60.75,light rain,23.1167,113.25,Shangjiuwan Hotel
117,Puerto Salgar,CO,76.66,overcast clouds,5.463,-74.6544,Hotel Confort
119,Gat,IL,88.48,few clouds,31.61,34.7642,OlusHome
122,San Quintin,MX,66.16,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
123,Sinnamary,GF,77.54,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
124,Port Hedland,AU,82.45,few clouds,-20.3167,118.5667,The Esplanade Hotel
125,Mareeba,AU,77.67,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
128,Asfi,MA,65.41,overcast clouds,32.2994,-9.2372,Hôtel Abda
129,Jinotega,NI,86.04,broken clouds,13.0917,-86.0018,Camping Piedra Grande
132,Treinta Y Tres,UY,63.75,moderate rain,-33.2333,-54.3833,Jardines Apart-Hotel
133,Hilo,US,78.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
134,Bengkulu,ID,76.08,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
137,Hun,LY,61.72,few clouds,29.1268,15.9477,Alrwasi Hotel
140,Baculin,PH,79.74,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
141,Abnub,EG,86.2,broken clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
142,Esperance,AU,60.22,broken clouds,-33.8667,121.9,Hospitality Esperance
143,Beyneu,KZ,60.35,clear sky,45.3167,55.2,NUR
147,Kagoro,NG,73.33,moderate rain,9.6,8.3833,Palm Garden Hotel
149,Saint-Pierre,RE,74.88,broken clouds,-21.3393,55.4781,Lindsey Hôtel
150,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
152,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
154,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
156,Goma,CD,63.19,light rain,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
158,Jalu,LY,63.61,overcast clouds,29.0331,21.5482,صاحبة الفخامة
160,Puerto Ayora,EC,76.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
161,Atambua,ID,75.94,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
164,Creel,MX,78.76,scattered clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
165,Buchanan,LR,78.98,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
167,Bentiu,SS,88.34,broken clouds,9.2333,29.8333,Mandela hôtel
169,Vredendal,ZA,68.34,clear sky,-31.6683,18.5012,Tharrakamma Guest House
170,Faya,SA,64.92,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
173,Dingle,PH,77.92,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
176,Ixtapa,MX,88.93,broken clouds,20.7,-105.2,hotel la terminal
178,Nanakuli,US,80.55,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
179,East London,ZA,64.49,scattered clouds,-33.0153,27.9116,Tu Casa
180,Kalmunai,LK,78.24,broken clouds,7.4167,81.8167,VS Villa
181,Vila Do Maio,CV,70.45,clear sky,15.1333,-23.2167,Hotel Marilu
182,Mogadishu,SO,82.45,overcast clouds,2.0371,45.3438,Hotel Juba
183,Nata,PA,84.07,overcast clouds,8.3333,-80.5167,Rey David
184,Rincon,US,73.9,light rain,32.296,-81.2354,Days Inn Rincon
187,Jardim,BR,70.12,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
190,Kiama,AU,74.25,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
191,Penukonda,IN,75.43,scattered clouds,14.0833,77.5833,Nikhara Fort
